Gene	sgRNA	eff
PLEC	s_42447	0.487
GAL3ST3	s_22084	1
GAL3ST3	s_22085	1
GAL3ST3	s_22086	0.46
GAL3ST3	s_22087	0.508
NSMAF	s_38033	0.674
NSMAF	s_38034	0.744
NSMAF	s_38035	0.33
NSMAF	s_38036	1
KCNC3	s_28565	0.472
KCNC3	s_28566	0.434
KCNC3	s_28567	0.743
KCNC3	s_28568	1
GLE1	s_22960	0.574
GLE1	s_22961	0.507
GLE1	s_22962	0.543
GLE1	s_22963	1
CR1L	s_13482	0.739
CR1L	s_13483	0.875
TEP1	s_56090	0.963
TEP1	s_56091	0.414
TEP1	s_56092	0.647
TEP1	s_56093	1
ZYG11A	s_64992	0.55
ZYG11A	s_64993	0.758
ZYG11A	s_64994	0.812
ZYG11A	s_64995	0.805
ZYG11A	s_64996	0.467
ZYG11A	s_64997	1
LAMP2	s_30460	0.563
LAMP2	s_30461	0.797
LAMP2	s_30462	0.499
POLR1C	s_43038	0.55
POLR1C	s_43039	1
POLR1C	s_43040	0.553
POLR1C	s_43041	1
MACROD2	s_32311	1
MACROD2	s_32312	1
MACROD2	s_32313	0.254
MACROD2	s_32314	0.672
MACROD2	s_32315	0.349
SLC23A1	s_51291	0.693
SLC23A1	s_51292	0.68
SLC23A1	s_51293	0.709
PAF1	s_40029	0.77
PAF1	s_40030	0.731
LRRC8C	s_31827	0.895
LRRC8C	s_31828	0.537
LRRC8C	s_31829	0.268
LRRC8C	s_31830	0.549
ADAMTS4	s_1064	1
ADAMTS4	s_1065	0.4
ADAMTS4	s_1066	0.936
ADAMTS4	s_1067	0.934
ADAMTS4	s_1068	0.673
ADAMTS4	s_1069	1
COX17	s_13207	0.807
COX17	s_13208	0.814
SUN1	s_54731	0.656
SUN1	s_54732	0.0766
SUN1	s_54733	0.839
SUN1	s_54734	1
SUN1	s_54735	0.761
SUN1	s_54736	0.939
SLC7A6	s_52221	0.762
SLC7A6	s_52222	1
SLC7A6	s_52223	0.663
MBTPS1	s_33079	0.498
MBTPS1	s_33080	0.105
MBTPS1	s_33081	0.612
VPS37D	s_61390	0.576
VPS37D	s_61391	1
VPS37D	s_61392	1
VPS37D	s_61393	0.975
FGFR1OP2	s_20981	0.488
FGFR1OP2	s_20982	0.986
ZC3H13	s_62728	0.515
ZC3H13	s_62729	1
ZC3H13	s_62730	0.969
ZC3H13	s_62731	1
TCEB1	s_55774	0.504
TCEB1	s_55775	0.329
TCEB1	s_55776	0.906
TCEB1	s_55777	0.643
LGALS3	s_30878	0.989
LGALS3	s_30879	0.877
LGALS3	s_30880	0.01
LGALS3	s_30881	0.857
SEC23IP	s_49634	1
SEC23IP	s_49635	0.612
SEC23IP	s_49636	0.688
SEC23IP	s_49637	0.836
LGI3	s_30912	1
LGI3	s_30913	0.524
LGI3	s_30914	1
PPIL6	s_43432	0.862
PPIL6	s_43433	0.842
PPIL6	s_43434	0.91
PPIL6	s_43435	0.26
GRHPR	s_24070	1
GRHPR	s_24071	0.555
GRHPR	s_24072	0.823
GRHPR	s_24073	1
CEACAM16	s_11057	0.372
CEACAM16	s_11058	0.718
CEACAM16	s_11059	0.957
CEACAM16	s_11060	0.684
EEA1	s_17445	0.669
EEA1	s_17446	1
EEA1	s_17447	0.307
OXT	s_39875	0.372
OXT	s_39876	0.507
OXT	s_39877	1
OXT	s_39878	0.553
LIAS	s_31003	0.401
LIAS	s_31004	0.24
LIAS	s_31005	0.705
LIAS	s_31006	0.01
LIAS	s_31007	0.537
GNAO1	s_23228	0.496
GNAO1	s_23229	1
GNAO1	s_23230	0.688
PAPD5	s_40187	1
PAPD5	s_40188	1
PAPD5	s_40189	0.908
C1orf159	s_7179	0.961
C1orf159	s_7180	0.91
C1orf159	s_7181	0.709
FBLIM1	s_20384	1
FBLIM1	s_20385	0.817
FBLIM1	s_20386	0.644
FBLIM1	s_20387	0.999
FBLIM1	s_20388	1
FBLIM1	s_20389	0.785
FBLIM1	s_20390	0.663
NPS	s_37725	1
NPS	s_37726	0.798
NPS	s_37727	0.507
C1QA	s_6997	0.751
C1QA	s_6998	0.815
C1QA	s_6999	1
C1QA	s_7000	0.606
C1QA	s_7001	1
C1QA	s_7002	1
ST3GAL6	s_54113	0.6
ST3GAL6	s_54114	0.779
FKBP1B	s_21137	1
FKBP1B	s_21138	0.873
FKBP1B	s_21139	0.603
SLC28A1	s_51554	1
SLC28A1	s_51555	1
SLC28A1	s_51556	0.923
CARD14	s_9099	0.928
CARD14	s_9100	0.908
CARD14	s_9101	1
CARD14	s_9102	0.409
SUMO2	s_54723	0.823
SUMO2	s_54724	0.806
SUMO2	s_54725	1
PPIF	s_43410	0.255
PPIF	s_43411	0.954
PPIF	s_43412	1
C20orf197	s_7446	0.77
C20orf197	s_7447	0.396
C20orf197	s_7448	1
OR1J4	s_38986	0.994
OR1J4	s_38987	0.371
NCKIPSD	s_36286	0.82
NCKIPSD	s_36287	0.745
NCKIPSD	s_36288	0.179
NCKIPSD	s_36289	0.985
NCKIPSD	s_36290	1
C10orf111	s_6042	0.85
C10orf111	s_6043	1
HGFAC	s_25219	0.499
HGFAC	s_25220	0.473
HGFAC	s_25221	0.978
HGFAC	s_25222	1
HGFAC	s_25223	0.991
NSUN4	s_38055	0.664
NSUN4	s_38056	0.591
NSUN4	s_38057	0.773
NSUN4	s_38058	0.436
NSUN4	s_38059	1
NSUN4	s_38060	0.695
NSUN4	s_38061	0.829
NSUN4	s_38062	0.456
EXOC2	s_18947	0.267
EXOC2	s_18948	0.71
EXOC2	s_18949	0.315
EXOC2	s_18950	1
PCYT1B	s_40820	0.706
PCYT1B	s_40821	0.628
PCYT1B	s_40822	1
PCYT1B	s_40823	0.886
NEURL	s_36761	1
NEURL	s_36762	0.795
NEURL	s_36763	0.241
OR10J1	s_38873	0.381
OR10J1	s_38874	0.415
OR10J1	s_38875	0.876
GRPEL1	s_24206	1
GRPEL1	s_24207	0.88
GRPEL1	s_24208	1
GRPEL1	s_24209	0.485
GRPEL1	s_24210	0.488
HSDL2	s_26222	0.01
HSDL2	s_26223	1
HSDL2	s_26224	0.0644
HSDL2	s_26225	0.73
DENND4C	s_15665	0.74
DENND4C	s_15666	0.561
DENND4C	s_15667	0.18
DENND4C	s_15668	0.869
PAGE1	s_40049	0.839
PAGE1	s_40050	1
PAGE1	s_40051	0.464
SCN3A	s_49335	0.576
SCN3A	s_49336	0.194
IL2RB	s_27268	0.961
IL2RB	s_27269	0.862
IL2RB	s_27270	1
ROM1	s_47849	0.643
ROM1	s_47850	0.922
ROM1	s_47851	1
ROM1	s_47852	0.4
ZNF18	s_63384	0.523
ZNF18	s_63385	1
ZNF18	s_63386	0.715
ZNF18	s_63387	0.511
LYRM2	s_32215	1
LYRM2	s_32216	0.669
LYRM2	s_32217	0.698
SLC25A17	s_51354	0.681
SLC25A17	s_51355	0.71
SLC25A17	s_51356	0.673
SLC25A17	s_51357	1
PHF10	s_41608	0.701
PHF10	s_41609	0.197
PHF10	s_41610	0.827
C17orf62	s_6775	1
C17orf62	s_6776	0.917
C17orf62	s_6777	0.564
PTDSS1	s_44943	0.988
PTDSS1	s_44944	0.818
ACBD7	s_581	0.571
ACBD7	s_582	0.835
ACBD7	s_583	1
RUNX3	s_48704	0.672
RUNX3	s_48705	0.756
RUNX3	s_48706	0.422
RUNX3	s_48707	1
RUNX3	s_48708	1
RUNX3	s_48709	0.565
RUNX3	s_48710	0.533
RUNX3	s_48711	0.94
ZBED6	s_62558	0.703
ZBED6	s_62559	0.404
ZBED6	s_62560	0.768
RPS11	s_48266	1
RPS11	s_48267	0.981
C7orf29	s_8238	1
C7orf29	s_8239	1
COMMD10	s_13036	0.832
COMMD10	s_13037	0.569
COMMD10	s_13038	0.434
AES	s_1395	0.41
AES	s_1396	0.528
AES	s_1397	1
AES	s_1398	1
AES	s_1399	1
AES	s_1400	1
ARL2BP	s_3554	0.872
ARL2BP	s_3555	0.847
ARL2BP	s_3556	0.58
LCE2A	s_30619	0.562
LCE2A	s_30620	0.475
LCE2A	s_30621	0.485
KCNJ6	s_28705	0.305
KCNJ6	s_28706	0.332
KCNJ6	s_28707	0.899
SLC25A15	s_51349	0.63
SLC25A15	s_51350	0.55
SLC25A15	s_51351	0.886
ARPP21	s_3701	0.757
ARPP21	s_3702	0.741
ARPP21	s_3703	1
ARPP21	s_3704	0.268
ARPP21	s_3705	1
ARPP21	s_3706	0.451
ARPP21	s_3707	0.473
NUP88	s_38403	0.529
NUP88	s_38404	0.335
NUP88	s_38405	0.929
NUP88	s_38406	0.442
TNNT1	s_58235	1
TNNT1	s_58236	0.209
TNNT1	s_58237	0.715
TSPAN7	s_59430	0.686
TSPAN7	s_59431	0.738
TSPAN7	s_59432	0.717
TSPAN7	s_59433	0.65
NCF4	s_36253	1
NCF4	s_36254	0.676
NCF4	s_36255	0.61
NCF4	s_36256	0.741
TMEM230	s_57527	1
TMEM230	s_57528	0.93
TMEM230	s_57529	0.455
C19orf53	s_6936	0.0169
C19orf53	s_6937	0.319
ZNF177	s_63381	0.831
ZNF177	s_63382	0.681
ZNF177	s_63383	0.519
STARD10	s_54234	0.725
STARD10	s_54235	0.541
STARD10	s_54236	1
STARD10	s_54237	0.794
IRF2BP2	s_27852	0.777
IRF2BP2	s_27853	0.888
IRF2BP2	s_27854	1
C4orf19	s_7926	0.709
C4orf19	s_7927	0.822
C4orf19	s_7928	1
C4orf19	s_7929	0.605
FAM133B	s_19419	0.856
FAM133B	s_19420	0.933
FAM133B	s_19421	0.01
UTP14C	s_61015	1
UTP14C	s_61016	0.706
BZW2	s_6027	1
BZW2	s_6028	1
BZW2	s_6029	0.527
BZW2	s_6030	0.296
C15orf60	s_6573	0.865
C15orf60	s_6574	0.01
C15orf60	s_6575	0.791
B3GALT5	s_4752	0.497
B3GALT5	s_4753	0.773
DEFB114	s_15551	0.675
DEFB114	s_15552	0.708
DEFB114	s_15553	0.469
C17orf80	s_6812	0.457
C17orf80	s_6813	0.948
C17orf80	s_6814	0.593
TOMM22	s_58324	0.604
TOMM22	s_58325	1
TOMM22	s_58326	1
TAOK1	s_55349	1
TAOK1	s_55350	1
TAOK1	s_55351	0.927
DNAJC28	s_16462	0.448
DNAJC28	s_16463	0.988
C18orf26	s_6855	0.559
C18orf26	s_6856	0.01
C18orf26	s_6857	0.538
MFSD9	s_33784	0.788
MFSD9	s_33785	0.664
C6orf47	s_8190	0.854
C6orf47	s_8191	0.479
IL2RA	s_27265	1
IL2RA	s_27266	0.383
IL2RA	s_27267	1
COL12A1	s_12869	0.01
COL12A1	s_12870	1
COL12A1	s_12871	0.837
COL12A1	s_12872	0.564
EPB41L1	s_18362	0.404
EPB41L1	s_18363	0.873
EPB41L1	s_18364	0.888
EPB41L1	s_18365	0.193
ICMT	s_26545	0.732
ICMT	s_26546	0.855
ICMT	s_26547	0.743
ICMT	s_26548	0.973
ICMT	s_26549	0.69
ICMT	s_26550	1
PTX3	s_45279	0.809
PTX3	s_45280	0.382
PTX3	s_45281	0.167
PTX3	s_45282	0.887
PTX3	s_45283	1
PTX3	s_45284	1
ARHGAP44	s_3350	0.863
ARHGAP44	s_3351	0.621
THAP4	s_56444	0.598
THAP4	s_56445	0.604
THAP4	s_56446	0.438
THAP4	s_56447	0.83
THAP4	s_56448	1
THAP4	s_56449	0.733
THAP4	s_56450	1
C2orf51	s_7650	0.905
C2orf51	s_7651	0.777
C2orf51	s_7652	0.426
ADCY3	s_1172	0.805
ADCY3	s_1173	1
ADCY3	s_1174	0.71
ADCY3	s_1175	0.575
ADCY3	s_1176	1
ADCY3	s_1177	0.794
DLX4	s_16192	0.222
DLX4	s_16193	1
DLX4	s_16194	0.938
DLX4	s_16195	0.775
DLX4	s_16196	1
RECQL	s_46706	0.397
RECQL	s_46707	0.386
ZFP36L2	s_63015	0.979
ZFP36L2	s_63016	1
ZFP36L2	s_63017	0.499
ZFP36L2	s_63018	1
ZFP36L2	s_63019	0.436
MED30	s_33407	0.98
MED30	s_33408	1
MED30	s_33409	1
MAPK7	s_32750	0.973
MAPK7	s_32751	0.806
MAPK7	s_32752	0.715
MAPK7	s_32753	0.446
MAPK7	s_32754	0.771
MAPK7	s_32755	0.984
NEIL2	s_36653	0.937
NEIL2	s_36654	0.916
NEIL2	s_36655	0.432
NEIL2	s_36656	0.877
NEIL2	s_36657	0.72
AVPR1A	s_4676	0.102
AVPR1A	s_4677	1
AVPR1A	s_4678	0.898
FRMD5	s_21611	0.162
FRMD5	s_21612	1
FRMD5	s_21613	0.904
FRMD5	s_21614	1
CPNE4	s_13365	0.809
CPNE4	s_13366	0.416
CPNE4	s_13367	0.552
CPNE4	s_13368	0.767
CPNE4	s_13369	0.691
SEZ6L	s_50156	0.982
SEZ6L	s_50157	0.711
SEZ6L	s_50158	0.974
SEZ6L	s_50159	1
C14orf182	s_6462	1
C14orf182	s_6463	1
C14orf182	s_6464	1
FCRL4	s_20732	0.01
FCRL4	s_20733	1
FCRL4	s_20734	0.72
FCRL4	s_20735	0.682
CSF3R	s_13860	0.942
CSF3R	s_13861	1
CSF3R	s_13862	0.835
CSF3R	s_13863	1
TOMM6	s_58339	1
TOMM6	s_58340	0.745
TOMM6	s_58341	0.883
SCGB3A1	s_49259	0.331
SCGB3A1	s_49260	1
SCGB3A1	s_49261	0.974
SCGB3A1	s_49262	1
ZNF85	s_64790	0.845
ZNF85	s_64791	0.379
SLC5A9	s_52106	0.535
SLC5A9	s_52107	1
SLC5A9	s_52108	1
ABCG1	s_249	0.53
ABCG1	s_250	0.843
ABCG1	s_251	0.754
ABCG1	s_252	0.441
ABCG1	s_253	1
ABCG1	s_254	1
TGFB2	s_56341	0.893
TGFB2	s_56342	0.965
TGFB2	s_56343	0.579
TGFB2	s_56344	0.727
TGFB2	s_56345	1
HIST1H2AL	s_25373	1
HIST1H2AL	s_25374	1
MFSD8	s_33779	0.275
MFSD8	s_33780	0.433
MFSD8	s_33781	0.786
MFSD8	s_33782	0.624
MFSD8	s_33783	0.373
PDLIM4	s_41127	0.283
PDLIM4	s_41128	1
PDLIM4	s_41129	0.674
PDLIM4	s_41130	1
HAS3	s_24734	0.715
HAS3	s_24735	0.742
HAS3	s_24736	0.451
HAS3	s_24737	0.835
HAS3	s_24738	1
HAS3	s_24739	0.321
TCEA1	s_55747	0.588
TCEA1	s_55748	0.316
TCEA1	s_55749	0.927
TCEA1	s_55750	0.536
SLC35E2B	s_51756	1
SLC35E2B	s_51757	0.967
ST5	s_54115	1
ST5	s_54116	0.783
ST5	s_54117	0.692
ST5	s_54118	1
ANPEP	s_2710	0.198
ANPEP	s_2711	1
ANPEP	s_2712	0.43
ANPEP	s_2713	0.395
CPNE2	s_13358	0.438
CPNE2	s_13359	0.778
CPNE2	s_13360	0.492
CPNE2	s_13361	0.692
LSM5	s_31958	0.746
LSM5	s_31959	0.66
LSM5	s_31960	0.197
LSM5	s_31961	1
AP2S1	s_2819	0.809
AP2S1	s_2820	0.457
CLCNKA	s_12122	0.751
CLCNKA	s_12123	1
CLCNKA	s_12124	0.559
CLCNKA	s_12125	0.765
CLCNKA	s_12126	0.592
CLCNKA	s_12127	0.289
EIF2AK2	s_17737	0.363
EIF2AK2	s_17738	0.492
EIF2AK2	s_17739	0.959
NOL6	s_37456	0.481
NOL6	s_37457	0.284
NOL6	s_37458	0.961
NOL6	s_37459	0.21
INTS9	s_27657	0.3
INTS9	s_27658	1
INTS9	s_27659	0.298
INTS9	s_27660	0.806
LMTK2	s_31286	0.317
LMTK2	s_31287	0.921
LMTK2	s_31288	1
LMTK2	s_31289	1
INIP	s_27508	0.504
INIP	s_27509	1
INIP	s_27510	0.455
SERPINA5	s_49965	0.733
SERPINA5	s_49966	0.55
SERPINA5	s_49967	0.612
SERPINA5	s_49968	1
KCNH5	s_28635	0.629
KCNH5	s_28636	0.857
KCNH5	s_28637	0.688
KCNH5	s_28638	0.317
PABPN1L	s_39979	0.678
PABPN1L	s_39980	0.756
PABPN1L	s_39981	0.456
PABPN1L	s_39982	0.37
OR7A10	s_39487	0.504
OR7A10	s_39488	0.942
PGGT1B	s_41489	0.549
PGGT1B	s_41490	0.461
PGGT1B	s_41491	0.939
CRYBB1	s_13763	1
CRYBB1	s_13764	0.909
CRYBB1	s_13765	0.888
CRYBB1	s_13766	0.431
PLA2G10	s_42231	0.923
PLA2G10	s_42232	0.786
SRSF6	s_53965	0.0849
SRSF6	s_53966	0.829
IP6K1	s_27668	0.835
IP6K1	s_27669	0.234
IP6K1	s_27670	0.916
IP6K1	s_27671	0.934
IP6K1	s_27672	0.603
IP6K1	s_27673	1
IP6K1	s_27674	0.61
IP6K1	s_27675	0.953
PTK2	s_45049	0.911
PTK2	s_45050	0.686
PTK2	s_45051	0.606
GBP5	s_22379	0.979
GBP5	s_22380	1
GBP5	s_22381	0.794
GBP5	s_22382	1
EYA4	s_19063	0.558
EYA4	s_19064	0.271
LMAN1L	s_31202	0.814
LMAN1L	s_31203	0.419
LMAN1L	s_31204	0.894
LMAN1L	s_31205	0.801
MGAT5	s_33816	0.411
MGAT5	s_33817	0.77
MGAT5	s_33818	0.666
MGAT5	s_33819	0.853
GFER	s_22619	0.766
GFER	s_22620	0.955
GFER	s_22621	0.797
SLC46A2	s_51985	0.606
SLC46A2	s_51986	0.671
SLC46A2	s_51987	0.531
OR51Q1	s_39275	1
OR51Q1	s_39276	0.913
PADI1	s_40009	1
PADI1	s_40010	0.504
PADI1	s_40011	0.285
PADI1	s_40012	0.434
PADI1	s_40013	0.662
NME5	s_37316	0.985
NME5	s_37317	0.37
NME5	s_37318	0.34
NME5	s_37319	0.288
CSNK2A2	s_13938	0.622
CSNK2A2	s_13939	0.94
CSNK2A2	s_13940	0.594
CSNK2A2	s_13941	0.28
FAM73A	s_20127	0.223
FAM73A	s_20128	0.667
FAM73A	s_20129	0.909
FAM73A	s_20130	0.33
CUZD1	s_14349	0.433
CUZD1	s_14350	0.809
CUZD1	s_14351	0.268
TP73	s_58484	0.859
TP73	s_58485	0.709
TP73	s_58486	1
TP73	s_58487	0.995
TP73	s_58488	0.716
TP73	s_58489	1
TP73	s_58490	0.784
TP73	s_58491	0.394
TP73	s_58492	0.856
TP73	s_58493	0.713
GLYR1	s_23131	1
GLYR1	s_23132	0.902
GLYR1	s_23133	1
GLYR1	s_23134	0.716
RP1L1	s_47988	0.283
RP1L1	s_47989	0.358
RP1L1	s_47990	0.416
RP1L1	s_47991	0.744
GINS4	s_22826	0.622
GINS4	s_22827	0.42
GINS4	s_22828	0.747
GINS4	s_22829	0.625
PAQR4	s_40222	0.495
PAQR4	s_40223	0.372
PAQR4	s_40224	0.782
PAQR4	s_40225	0.262
SUV39H1	s_54810	0.125
SUV39H1	s_54811	0.8
SUV39H1	s_54812	1
KRTAP25-1	s_30260	0.737
KRTAP25-1	s_30261	0.591
CHMP1A	s_11699	0.617
CHMP1A	s_11700	0.954
ETV3L	s_18858	0.786
ETV3L	s_18859	1
ETV3L	s_18860	1
ETV3L	s_18861	0.524
ETV3L	s_18862	0.378
JAM3	s_28263	1
JAM3	s_28264	0.0375
PRKCG	s_44118	0.35
PRKCG	s_44119	1
PRKCG	s_44120	0.706
PRKCG	s_44121	0.798
WDR45	s_61740	0.916
WDR45	s_61741	0.324
WDR45	s_61742	1
ARPC5	s_3692	0.717
ARPC5	s_3693	1
ARPC5	s_3694	1
EPHX4	s_18476	0.704
EPHX4	s_18477	0.751
EPHX4	s_18478	0.105
EPHX4	s_18479	1
EPHX4	s_18480	0.757
EPHX4	s_18481	0.326
DDX26B	s_15394	0.286
DDX26B	s_15395	0.655
DDX26B	s_15396	0.355
DDX26B	s_15397	0.733
E4F1	s_17260	1
E4F1	s_17261	0.692
E4F1	s_17262	0.839
E4F1	s_17263	1
ZNF454	s_63948	0.672
ZNF454	s_63949	1
ZNF454	s_63950	1
NFAM1	s_36800	0.685
NFAM1	s_36801	1
NFAM1	s_36802	0.467
ZNF460	s_63951	0.593
ZNF460	s_63952	1
ZNF460	s_63953	0.909
SRPR	s_53902	0.881
SRPR	s_53903	1
SRPR	s_53904	0.454
SRPR	s_53905	1
NOL3	s_37446	0.708
NOL3	s_37447	0.812
NOL3	s_37448	0.571
GPKOW	s_23596	0.7
GPKOW	s_23597	0.781
GPKOW	s_23598	0.657
C6orf195	s_8153	0.974
C6orf195	s_8154	1
POLR2F	s_43071	0.949
POLR2F	s_43072	0.31
POLR2F	s_43073	0.609
POLR2F	s_43074	0.705
TEX2	s_56175	0.805
TEX2	s_56176	0.991
TEX2	s_56177	0.505
TEX2	s_56178	1
TMBIM1	s_56922	0.493
TMBIM1	s_56923	1
TRIM9	s_59037	0.133
TRIM9	s_59038	0.499
TRIM9	s_59039	0.511
FAM96A	s_20232	1
FAM96A	s_20233	0.521
FAM96A	s_20234	0.128
FAM96A	s_20235	0.128
AKAP9	s_1800	0.365
AKAP9	s_1801	0.424
AKAP9	s_1802	0.959
SPATA18	s_53330	0.922
SPATA18	s_53331	0.808
KIR2DL1	s_29527	1
KIR2DL1	s_29528	0.0233
KCNB2	s_28552	0.284
KCNB2	s_28553	0.504
KCNB2	s_28554	1
MTR	s_35314	0.806
MTR	s_35315	0.552
MTR	s_35316	0.306
DGKB	s_15779	0.311
DGKB	s_15780	0.85
DGKB	s_15781	1
DGKB	s_15782	1
C16orf45	s_6595	0.665
C16orf45	s_6596	0.539
C16orf45	s_6597	0.998
PSMC4	s_44759	1
PSMC4	s_44760	0.433
PSMC4	s_44761	0.791
ZNF75A	s_64597	0.829
ZNF75A	s_64598	0.681
ZNF75A	s_64599	1
FMOD	s_21289	0.595
FMOD	s_21290	0.469
FMOD	s_21291	0.707
FMOD	s_21292	1
FMOD	s_21293	0.783
TMEM86B	s_57808	0.737
TMEM86B	s_57809	0.718
TMEM86B	s_57810	0.727
TMEM86B	s_57811	0.622
ARG1	s_3230	0.725
ARG1	s_3231	1
ARG1	s_3232	0.501
HLA-DPA1	s_25509	0.833
HLA-DPA1	s_25510	1
HLA-DPA1	s_25511	1
HLA-DPA1	s_25512	0.995
TSPAN19	s_59401	1
TSPAN19	s_59402	0.38
KIF11	s_29381	0.733
KIF11	s_29382	0.45
SLC6A12	s_52117	0.755
SLC6A12	s_52118	0.791
CXCR6	s_14447	0.763
CXCR6	s_14448	0.817
CXCR6	s_14449	1
MMS19	s_34268	0.623
MMS19	s_34269	0.5
MMS19	s_34270	0.922
MMS19	s_34271	0.54
SAMD14	s_48960	0.977
SAMD14	s_48961	0.502
SAMD14	s_48962	1
SCGB1C1	s_49242	1
SCGB1C1	s_49243	0.571
SCGB1C1	s_49244	0.891
FOXI1	s_21443	0.929
FOXI1	s_21444	0.798
FOXI1	s_21445	0.839
FOXI1	s_21446	0.599
FOXI1	s_21447	1
METTL5	s_33645	0.506
METTL5	s_33646	0.562
METTL5	s_33647	1
METTL5	s_33648	0.551
METTL5	s_33649	0.752
SERPINE1	s_50031	1
SERPINE1	s_50032	0.462
SERPINE1	s_50033	1
FAM181A	s_19657	0.905
FAM181A	s_19658	1
FAM181A	s_19659	0.646
RAB9B	s_45795	0.695
RAB9B	s_45796	0.887
MVP	s_35466	0.744
MVP	s_35467	1
MVP	s_35468	0.89
MVP	s_35469	0.859
NRD1	s_37897	1
NRD1	s_37898	0.285
NRD1	s_37899	0.731
NRD1	s_37900	0.36
NRD1	s_37901	1
NRD1	s_37902	0.725
FPGT-TNNI3K	s_21547	0.831
FPGT-TNNI3K	s_21550	0.591
FPGT-TNNI3K	s_21551	0.615
CMPK2	s_12522	0.897
CMPK2	s_12523	0.908
CMPK2	s_12524	0.831
C6orf130	s_8122	1
C6orf130	s_8123	0.751
HECTD3	s_25015	0.844
HECTD3	s_25016	0.933
HECTD3	s_25017	0.751
HECTD3	s_25018	1
HECTD3	s_25019	1
HECTD3	s_25020	1
PPM1A	s_43444	0.482
PPM1A	s_43445	0.878
PPM1A	s_43446	0.01
PPM1A	s_43447	0.667
PPM1A	s_43448	0.365
PPM1A	s_43449	0.805
ALG2	s_2019	0.485
ALG2	s_2020	0.848
ALG2	s_2021	1
ALG2	s_2022	0.981
GPA33	s_23485	0.522
GPA33	s_23486	1
GPA33	s_23487	0.786
GPA33	s_23488	0.771
GPA33	s_23489	0.539
CRTAM	s_13715	0.72
CRTAM	s_13716	1
CRTAM	s_13717	0.937
CRTAM	s_13718	1
GALR1	s_22194	0.189
GALR1	s_22195	0.789
GALR1	s_22196	0.5
GALR1	s_22197	0.772
BUB3	s_6003	0.743
BUB3	s_6004	1
BUB3	s_6005	0.536
BUB3	s_6006	0.447
CD2BP2	s_10351	0.909
CD2BP2	s_10352	0.99
CD2BP2	s_10353	0.825
CD2BP2	s_10354	0.525
ERCC6L2	s_18612	0.756
ERCC6L2	s_18613	0.653
ERCC6L2	s_18614	1
TAF9B	s_55303	0.758
TAF9B	s_55304	1
TAF9B	s_55305	0.766
TAF9B	s_55306	1
ADIPOQ	s_1263	0.777
ADIPOQ	s_1264	0.515
ADIPOQ	s_1265	0.568
ADIPOQ	s_1266	1
ADIPOQ	s_1267	0.789
SLC25A31	s_51414	1
SLC25A31	s_51415	1
SLC25A31	s_51416	1
SLC25A31	s_51417	0.0697
RGS10	s_47037	1
RGS10	s_47038	1
RGS10	s_47039	1
SYNDIG1L	s_54943	0.846
SYNDIG1L	s_54944	0.857
SYNDIG1L	s_54945	0.739
PMS1	s_42776	0.467
PMS1	s_42777	0.199
PMS1	s_42778	0.657
PMS1	s_42779	0.734
PMS1	s_42780	1
PMS1	s_42781	0.96
GOLT1B	s_23422	0.481
GOLT1B	s_23423	0.985
YIPF7	s_62434	0.34
YIPF7	s_62435	0.592
YIPF7	s_62436	1
EHMT1	s_17705	0.594
EHMT1	s_17706	0.989
EHMT1	s_17707	0.32
EHMT1	s_17708	0.723
GMPS	s_23189	0.108
GMPS	s_23190	0.544
GMPS	s_23191	1
RNF41	s_47765	0.829
RNF41	s_47766	0.302
RNF41	s_47767	0.923
RNF41	s_47768	1
RNF41	s_47769	0.416
LRRC1	s_31602	0.604
LRRC1	s_31603	1
LRRC1	s_31604	1
LRRC1	s_31605	1
MCF2L2	s_33135	1
MCF2L2	s_33136	0.783
MCF2L2	s_33137	0.458
MCF2L2	s_33138	1
GBX2	s_22397	1
GBX2	s_22398	1
RNF130	s_47554	0.8
RNF130	s_47555	0.915
RNF130	s_47556	1
RNF130	s_47557	0.591
TSPAN9	s_59437	0.326
TSPAN9	s_59438	0.48
TSPAN9	s_59439	0.576
TSPAN9	s_59440	0.336
A4GALT	s_16	0.9
A4GALT	s_17	0.82
TOM1L2	s_58313	0.822
TOM1L2	s_58314	1
TOM1L2	s_58315	0.655
TOM1L2	s_58316	0.259
CXXC11	s_14455	0.929
CXXC11	s_14456	0.758
CXXC11	s_14457	1
CXXC11	s_14458	1
CXXC11	s_14459	0.848
CXXC11	s_14460	1
ERI1	s_18643	0.94
ERI1	s_18644	0.588
ERI1	s_18645	0.715
ERI1	s_18646	0.658
TMEM143	s_57210	0.331
TMEM143	s_57211	0.785
TMEM143	s_57212	1
ZDHHC18	s_62870	0.602
ZDHHC18	s_62871	0.981
ZDHHC18	s_62872	1
ZDHHC18	s_62873	0.706
ZDHHC18	s_62874	0.237
ZDHHC18	s_62875	1
CYP3A7	s_14767	0.465
CYP3A7	s_14768	0.889
CYP3A7	s_14769	0.758
SLC25A33	s_51422	1
SLC25A33	s_51423	0.57
ZNF853	s_64792	0.799
ZNF853	s_64793	0.937
ZNF853	s_64794	0.772
STRAP	s_54526	0.501
STRAP	s_54527	0.58
STRAP	s_54528	0.801
JAK1	s_28239	1
JAK1	s_28240	0.719
JAK1	s_28241	0.496
JAK1	s_28242	0.896
SP4	s_53207	1
SP4	s_53208	0.938
SP4	s_53209	0.989
